A,B,C,D,E,F,Target
31.23,17.72,15.5,13.52,120.06,0.5,DH
67.26,7.19,51.7,60.07,97.8,42.14,SL
63.03,27.34,51.61,35.69,114.51,7.44,NO
54.6,21.49,29.36,33.11,118.34,-1.47,NO
67.8,16.55,43.26,51.25,119.69,4.87,NO
38.13,6.56,50.45,31.57,132.11,6.34,NO
66.51,20.9,31.73,45.61,128.9,1.52,NO
63.9,13.71,62.12,50.19,114.13,41.42,SL
49.71,9.65,28.32,40.06,108.17,7.92,DH
69.3,24.65,44.31,44.64,101.87,11.21,DH
57.04,0.35,49.2,56.69,103.05,52.17,SL
85.29,18.28,100.74,67.01,110.66,58.88,SL
44.53,9.43,52.0,35.1,134.71,29.11,SL
31.28,3.14,32.56,28.13,129.01,3.62,DH
79.94,18.77,63.31,61.16,114.79,38.54,SL
32.09,6.99,36.0,25.1,132.26,6.41,DH
70.95,20.16,62.86,50.79,116.18,32.52,SL
77.69,21.38,64.43,56.31,114.82,26.93,SL
30.74,13.35,35.9,17.39,142.41,-2.01,NO
84.59,30.36,65.48,54.22,108.01,25.12,SL
34.38,2.06,32.39,32.32,128.3,-3.37,NO
58.6,-0.26,51.5,58.86,102.04,28.06,SL
45.08,12.31,44.58,32.77,147.89,-8.94,NO
78.49,22.18,60.0,56.31,118.53,27.38,SL
76.15,21.94,82.96,54.21,123.93,10.43,SL
45.54,13.07,30.3,32.47,117.98,-4.99,DH
89.68,32.7,83.13,56.98,129.96,92.03,SL
61.73,17.11,46.9,44.62,120.92,3.09,NO
66.8,14.55,72.08,52.25,82.46,41.69,SL
34.65,7.51,43.0,27.14,123.99,-4.08,NO
33.79,3.68,25.5,30.11,128.33,-1.78,NO
63.17,6.33,63.0,56.84,110.64,42.61,SL
81.75,20.12,70.56,61.63,119.43,55.51,SL
43.72,9.81,52.0,33.91,88.43,40.88,SL
95.38,24.82,95.16,70.56,89.31,57.66,SL
56.1,13.11,62.64,43.0,116.23,31.17,NO
44.91,10.22,44.63,34.7,130.08,37.36,SL
70.4,13.47,61.2,56.93,102.34,25.54,SL
43.79,13.53,42.69,30.26,125.0,13.29,DH
65.54,24.16,45.78,41.38,136.44,16.38,SL
74.01,21.12,57.38,52.88,120.21,74.56,SL
80.11,33.94,85.1,46.17,125.59,100.29,SL
68.61,15.08,63.01,53.53,123.43,39.5,SL
76.33,42.4,57.2,33.93,124.27,50.13,SL
62.14,13.96,58.0,48.18,133.28,4.96,NO
74.43,41.56,27.7,32.88,107.95,5.0,DH
52.86,9.41,46.99,43.45,123.09,1.86,NO
80.43,17.0,66.54,63.43,116.44,57.78,SL
67.29,16.72,51.0,50.57,137.59,4.96,NO
57.29,15.15,64.0,42.14,116.74,30.34,SL
50.91,23.02,47.0,27.9,117.42,-2.53,DH
55.84,28.85,47.69,27.0,123.31,2.81,DH
49.71,13.04,31.33,36.67,108.65,-7.83,DH
37.73,9.39,42.0,28.35,135.74,13.68,NO
65.67,10.54,56.49,55.12,109.16,53.93,SL
89.5,48.9,72.0,40.6,134.63,118.35,SL
50.91,6.68,30.9,44.24,118.15,-1.06,NO
45.7,10.66,42.58,35.04,130.18,-3.39,NO
54.14,11.94,43.0,42.21,122.21,0.15,NO
64.81,15.17,58.84,49.64,111.68,21.41,SL
86.47,40.3,61.14,46.17,97.4,55.75,SL
